Package Type,Destination,Itinerary,Travel Date,Start City,Airline,Flight Stops,Meals
Deluxe,Srinagar,2N Srinagar,1/12/2021,Mumbai,Vistara|Vistara,1,3
Standard,Parwanoo|Shimla|Manali,1N Parwanoo . 2N Shimla . 3N Manali,1/4/2021,New Delhi,Not Available,2,3
Luxury,Srinagar|Pahalgam|Srinagar,1N Srinagar . 1N Pahalgam . 2N Srinagar,23-02-2021,Mumbai,Spicejet|Spicejet,0,4
Deluxe,Guwahati|Cherrapunjee|Shillong,1N Guwahati . 2N Cherrapunjee . 2N Shillong,22-07-2021,Mumbai,Spicejet,1,3
Premium,New Delhi|Shimla|Manali|Chandigarh,2N New Delhi . 2N Shimla . 3N Manali . 1N Chandigarh,19-11-2021,New Delhi,Spicejet,0,5
Premium,Nainital|Ranikhet|Corbett,2N Nainital . 1N Ranikhet . 2N Corbett,4/5/2021,New Delhi,Not Available,0,5
Deluxe,Agra|New Delhi|Shimla|Manali|Chandigarh,1N Agra . 2N New Delhi . 2N Shimla . 3N Manali . 1N Chandigarh,18-01-2022,Mumbai,Not Available,1,3
Standard,Pattaya,4N Pattaya,6/11/2021,Mumbai,Go Air|Go Air,2,3
Premium,Port Blair|Havelock|Niel Island|Port Blair,1N Port Blair . 2N Havelock . 1N Niel Island . 1N Port Blair,2/3/2021,New Delhi,Vistara|Vistara,0,5
Premium,Goa,3N Goa,9/4/2021,New Delhi,Not Available,0,5
Standard,Manali|Shimla,3N Manali . 2N Shimla,10/9/2021,New Delhi,Vistara,2,3
Premium,Darjeeling|Gangtok|Kalimpong,3N Darjeeling . 2N Gangtok . 1N Kalimpong,10/9/2021,Mumbai,IndiGo,0,5
Deluxe,Manali|Shimla,2N Manali . 2N Shimla,14-08-2021,New Delhi,Not Available,1,3
Luxury,Jaipur|Jodhpur|Jaisalmer|Udaipur,2N Jaipur . 1N Jodhpur . 2N Jaisalmer . 2N Udaipur,18-04-2021,New Delhi,IndiGo|IndiGo,0,4
Deluxe,Goa,3N Goa,19-04-2021,New Delhi,Go Air,1,3
Deluxe,Cochin|Munnar,1N Cochin . 2N Munnar,19-07-2021,Mumbai,Spicejet,1,3
Standard,Cochin|Munnar|Thekkady|Kumarakom,1N Cochin . 2N Munnar . 1N Thekkady . 1N Kumarakom,31-03-2021,Mumbai,Spicejet,2,3
Luxury,Pushkar|Jodhpur|Mount Abu|Udaipur,1N Pushkar . 1N Jodhpur . 1N Mount Abu . 2N Udaipur,12/3/2021,New Delhi,Go Air|Vistara,0,4
Deluxe,Cochin|Munnar|Thekkady|Allepey|Kovalam and Poovar,1N Cochin . 2N Munnar . 1N Thekkady . 1N Allepey . 2N Kovalam and Poovar,11/5/2021,New Delhi,Spicejet,1,3
Deluxe,Darjeeling|Gangtok,1N Darjeeling . 2N Gangtok,18-09-2021,Mumbai,Spicejet,1,3
Deluxe,Kovalam and Poovar|Allepey|Thekkady|Munnar,2N Kovalam and Poovar . 1N Allepey . 1N Thekkady . 2N Munnar,15-06-2021,New Delhi,IndiGo|IndiGo|Spicejet,1,3
Premium,Shimla|Manali|Dharamshala,2N Shimla . 3N Manali . 2N Dharamshala,17-02-2021,New Delhi,Air India,0,5
Deluxe,Dubai,4N Dubai,4/4/2021,Mumbai,Not Available,1,3
Premium,Chandigarh|Shimla|Chandigarh,1N Chandigarh . 3N Shimla . 1N Chandigarh,7/8/2021,New Delhi,IndiGo,0,5
Standard,Shimla|Manali|Chandigarh,3N Shimla . 3N Manali . 1N Chandigarh,25-07-2021,New Delhi,IndiGo,2,3
Deluxe,Goa,2N Goa,13-07-2021,New Delhi,Go Air,1,3
Premium,Thekkady|Allepey,1N Thekkady . 2N Allepey,12/8/2021,New Delhi,Spicejet,0,5
Standard,Jaipur|Pushkar,2N Jaipur . 1N Pushkar,4/9/2021,Mumbai,Not Available,2,3
Deluxe,Gangtok|Lachung|Gangtok,4N Gangtok . 2N Lachung . 2N Gangtok,2/8/2021,New Delhi,Spicejet,1,3
Standard,Cochin|Munnar,1N Cochin . 2N Munnar,30-05-2021,New Delhi,Spicejet,2,3
Premium,Goa,3N Goa,18-10-2021,New Delhi,Go Air,0,5
Deluxe,Dharamshala|Dalhousie,2N Dharamshala . 2N Dalhousie,1/11/2021,New Delhi,IndiGo,1,3
Luxury,Goa,3N Goa,12/10/2021,New Delhi,Go Air,0,4
Luxury,Dalhousie|Manali,2N Dalhousie . 3N Manali,6/10/2021,New Delhi,Not Available,0,4
Standard,Nainital,4N Nainital,25-09-2021,New Delhi,Spicejet,2,3
Standard,Darjeeling|Gangtok,2N Darjeeling . 3N Gangtok,5/8/2021,New Delhi,IndiGo|IndiGo,2,3
Luxury,Bali,4N Bali,25-09-2021,Mumbai,Malaysia Airlines|Malaysia Airlines|Malaysia Airlines|Malaysia Airlines,0,4
Premium,Allepey|Kovalam and Poovar,2N Allepey . 3N Kovalam and Poovar,13-06-2021,New Delhi,Air India|Spicejet,0,5
Luxury,Guwahati|Shillong|Kaziranga,1N Guwahati . 3N Shillong . 1N Kaziranga,28-07-2021,New Delhi,Spicejet|Spicejet,0,4
Premium,Cochin|Munnar|Allepey|Kovalam and Poovar,1N Cochin . 2N Munnar . 1N Allepey . 2N Kovalam and Poovar,11/12/2021,New Delhi,IndiGo|Spicejet,0,5
Deluxe,Srinagar,3N Srinagar,16-09-2021,New Delhi,Spicejet|Spicejet,1,3
Luxury,Shimla|Manali|Dalhousie|Amritsar,2N Shimla . 3N Manali . 2N Dalhousie . 1N Amritsar,24-04-2021,New Delhi,Not Available,0,4
Deluxe,Shimla|Manali|Dharamshala,2N Shimla . 3N Manali . 2N Dharamshala,3/7/2021,New Delhi,Not Available,1,3
Deluxe,Goa,4N Goa,13-10-2021,New Delhi,Spicejet,1,3
Standard,Coorg|Ooty,2N Coorg . 2N Ooty,3/2/2021,New Delhi,Not Available,2,3
Standard,Munnar,2N Munnar,14-07-2021,Mumbai,Not Available,2,3
Standard,Udaipur|Mount Abu,2N Udaipur . 2N Mount Abu,11/5/2021,New Delhi,IndiGo,2,3
Deluxe,Munnar|Kumarakom|Kovalam and Poovar,2N Munnar . 2N Kumarakom . 2N Kovalam and Poovar,13-03-2021,New Delhi,Spicejet|IndiGo,1,3
Premium,Udaipur|Jodhpur|Jaisalmer,2N Udaipur . 1N Jodhpur . 2N Jaisalmer,24-06-2021,New Delhi,Vistara|IndiGo,0,5
Premium,Shimla|Manali|Chandigarh,2N Shimla . 3N Manali . 1N Chandigarh,5/11/2021,Mumbai,IndiGo|Go Air,0,5
Luxury,Dalhousie|Dharamshala,2N Dalhousie . 2N Dharamshala,13-02-2021,New Delhi,Not Available,0,4
Deluxe,Aurangabad|Shirdi,2N Aurangabad . 1N Shirdi,26-05-2021,New Delhi,Air India,1,3
Premium,Srinagar|Pahalgam|Srinagar,1N Srinagar . 1N Pahalgam . 3N Srinagar,16-07-2021,New Delhi,Spicejet|Spicejet,0,5
Premium,Coorg,3N Coorg,17-10-2021,New Delhi,Not Available,0,5
Deluxe,Coorg|Ooty|Bandipur,3N Coorg . 2N Ooty . 1N Bandipur,9/5/2021,New Delhi,Air India,1,3
Premium,Kodaikanal|Ooty,2N Kodaikanal . 2N Ooty,9/1/2022,New Delhi,Spicejet,0,5
Standard,Shimla|Manali|Dharamshala,2N Shimla . 2N Manali . 2N Dharamshala,15-03-2021,New Delhi,Vistara,2,3
Deluxe,New Delhi|Agra,3N New Delhi . 1N Agra,19-07-2021,Mumbai,IndiGo,1,3
Luxury,New Delhi|Agra|Ranthambhore|Jaipur,2N New Delhi . 1N Agra . 2N Ranthambhore . 2N Jaipur,23-08-2021,New Delhi,Go Air|IndiGo,0,4
Deluxe,Shimla|Chandigarh,3N Shimla . 1N Chandigarh,25-02-2021,New Delhi,Spicejet,1,3
Standard,Shimla|Manali|Chandigarh,2N Shimla . 2N Manali . 1N Chandigarh,26-11-2021,New Delhi,Go Air,2,3
Deluxe,Munnar,3N Munnar,9/3/2021,New Delhi,IndiGo,1,3
Deluxe,Gulmarg|Pahalgam|Srinagar,2N Gulmarg . 2N Pahalgam . 1N Srinagar,29-09-2021,Mumbai,Spicejet|Spicejet,1,3
Standard,New Delhi|Shimla|Manali|Chandigarh,1N New Delhi . 2N Shimla . 3N Manali . 1N Chandigarh,21-10-2021,Mumbai,Go Air,2,3
Standard,Jaipur|Jodhpur|Jaisalmer|Bikaner|Jaipur,1N Jaipur . 1N Jodhpur . 2N Jaisalmer . 1N Bikaner . 1N Jaipur,26-11-2021,New Delhi,Not Available,2,3
Luxury,Dharamshala|Dalhousie,2N Dharamshala . 2N Dalhousie,29-08-2021,New Delhi,Not Available,0,4
Premium,Munnar|Thekkady|Kovalam and Poovar,2N Munnar . 1N Thekkady . 2N Kovalam and Poovar,12/10/2021,New Delhi,IndiGo,0,5
Premium,New Delhi|Shimla|Manali|Chandigarh,1N New Delhi . 2N Shimla . 2N Manali . 1N Chandigarh,14-05-2021,Mumbai,Spicejet,0,5
Deluxe,Rishikesh|Joshimath|Haridwar,1N Rishikesh . 2N Joshimath . 1N Haridwar,6/3/2021,Mumbai,Spicejet,1,3
Standard,Munnar,3N Munnar,27-02-2021,New Delhi,Go Air,2,3
Deluxe,Munnar|Thekkady|Allepey|Kovalam and Poovar,2N Munnar . 2N Thekkady . 1N Allepey . 2N Kovalam and Poovar,19-03-2021,New Delhi,Spicejet,1,3
Deluxe,Kaziranga|Shillong,2N Kaziranga . 3N Shillong,18-05-2021,Mumbai,Vistara|Vistara,1,3
Standard,Darjeeling|Pelling|Gangtok|Kalimpong,3N Darjeeling . 2N Pelling . 2N Gangtok . 2N Kalimpong,9/2/2021,New Delhi,IndiGo,2,3
Standard,Ooty,2N Ooty,12/8/2021,Mumbai,Not Available,2,3
Luxury,Nainital|Kausani|Ranikhet|New Delhi,2N Nainital . 2N Kausani . 1N Ranikhet . 1N New Delhi,9/7/2021,Mumbai,Go Air,0,4
Deluxe,Srinagar|Pahalgam|Srinagar,1N Srinagar . 2N Pahalgam . 2N Srinagar,16-08-2021,New Delhi,IndiGo|IndiGo,1,3
Deluxe,Gangtok|Pelling|Namchi,3N Gangtok . 2N Pelling . 1N Namchi,15-09-2021,New Delhi,IndiGo,1,3
Deluxe,Dalhousie|Dharamshala,2N Dalhousie . 2N Dharamshala,21-11-2021,Mumbai,Not Available,1,3
Luxury,Shimla|Manali|Dharamshala|Dalhousie|Chandigarh,2N Shimla . 3N Manali . 2N Dharamshala . 2N Dalhousie . 1N Chandigarh,24-05-2021,Mumbai,Go Air,0,4
Deluxe,New Delhi|Agra|Jaipur,2N New Delhi . 2N Agra . 2N Jaipur,7/12/2021,New Delhi,Not Available,1,3
Luxury,Chandigarh|Manali,1N Chandigarh . 3N Manali,23-07-2021,Mumbai,Not Available,0,4
Premium,Cochin|Munnar|Thekkady|Allepey,1N Cochin . 2N Munnar . 1N Thekkady . 1N Allepey,14-06-2021,Mumbai,Go Air,0,5
Deluxe,New Delhi|Agra,3N New Delhi . 1N Agra,27-07-2021,Mumbai,Air India,1,3
Standard,Jaipur|Bikaner,2N Jaipur . 1N Bikaner,4/9/2021,New Delhi,Not Available,2,3
Deluxe,Ooty,3N Ooty,23-11-2021,New Delhi,IndiGo,1,3
Luxury,Shimla|Manali|New Delhi,2N Shimla . 2N Manali . 2N New Delhi,15-06-2021,New Delhi,IndiGo,0,4
Premium,Darjeeling|Gangtok,2N Darjeeling . 2N Gangtok,16-11-2021,New Delhi,Go Air,0,5
Premium,Goa,2N Goa,1/7/2021,New Delhi,Go Air,0,5
Luxury,Coorg|Ooty,2N Coorg . 2N Ooty,2/4/2022,New Delhi,AirAsia|Spicejet,0,4
Deluxe,Port Blair,3N Port Blair,3/10/2021,Mumbai,IndiGo|IndiGo,1,3
Premium,Shillong|Cherrapunjee,2N Shillong . 2N Cherrapunjee,19-06-2021,New Delhi,IndiGo,0,5
Standard,Cochin|Munnar|Thekkady|Kumarakom,1N Cochin . 3N Munnar . 1N Thekkady . 1N Kumarakom,27-03-2021,New Delhi,IndiGo,2,3
Premium,Goa,4N Goa,14-05-2021,New Delhi,Spicejet,0,5
Deluxe,Darjeeling|Kalimpong|Gangtok,2N Darjeeling . 1N Kalimpong . 2N Gangtok,17-04-2021,New Delhi,Not Available,1,3
Premium,Mysore|Coorg|Bandipur|Ooty,1N Mysore . 2N Coorg . 1N Bandipur . 2N Ooty,4/5/2021,Mumbai,AirAsia|Spicejet,0,5
Premium,Cochin|Allepey|Thekkady,1N Cochin . 1N Allepey . 2N Thekkady,28-10-2021,New Delhi,IndiGo,0,5
Standard,Gangtok|Darjeeling,2N Gangtok . 1N Darjeeling,10/11/2021,New Delhi,IndiGo,2,3
Deluxe,Srinagar|Gulmarg|Pahalgam|Srinagar,2N Srinagar . 1N Gulmarg . 1N Pahalgam . 1N Srinagar,8/11/2021,Mumbai,IndiGo|IndiGo,1,3
Budget,Allepey,2N Allepey,24-12-2021,New Delhi,IndiGo,2,2
Luxury,Coorg,3N Coorg,25-06-2021,Mumbai,Spicejet,0,4
Deluxe,Shillong|Kaziranga,2N Shillong . 2N Kaziranga,3/5/2021,New Delhi,IndiGo,1,3
Deluxe,Munnar,3N Munnar,24-02-2021,New Delhi,Not Available,1,3
Premium,Darjeeling,2N Darjeeling,10/8/2021,Mumbai,Spicejet,0,5
Premium,Paris,5N Paris,13-07-2021,New Delhi,Oman Air|Oman Air|Oman Air|Oman Air,0,5
Standard,Shimla|Chail,3N Shimla . 1N Chail,30-07-2021,New Delhi,Not Available,2,3
Premium,Jaipur|Jodhpur|Udaipur,2N Jaipur . 1N Jodhpur . 2N Udaipur,26-04-2021,New Delhi,Not Available,0,5
Deluxe,New Delhi|Shimla|Manali|Chandigarh,1N New Delhi . 2N Shimla . 3N Manali . 1N Chandigarh,12/7/2021,New Delhi,Spicejet,1,3
Deluxe,Gangtok|Darjeeling,3N Gangtok . 2N Darjeeling,27-05-2021,Mumbai,IndiGo,1,3
Premium,Thimpu|Paro,2N Thimpu . 3N Paro,9/1/2022,New Delhi,Not Available,0,5
Standard,Bangalore|Mysore|Ooty,1N Bangalore . 2N Mysore . 2N Ooty,13-10-2021,Mumbai,Go Air|Spicejet,2,3
Standard,Shimla|Manali|Chandigarh|New Delhi,2N Shimla . 3N Manali . 1N Chandigarh . 1N New Delhi,2/12/2021,Mumbai,Not Available,2,3
Luxury,Udaipur|Jodhpur|Jaisalmer,2N Udaipur . 1N Jodhpur . 2N Jaisalmer,3/8/2021,New Delhi,IndiGo|IndiGo,0,4
Premium,Jaipur|Pushkar|Udaipur,2N Jaipur . 1N Pushkar . 2N Udaipur,12/11/2021,New Delhi,IndiGo|IndiGo,0,5
Standard,Gangtok|Lachen|Lachung|Gangtok,2N Gangtok . 1N Lachen . 1N Lachung . 2N Gangtok,15-11-2021,Mumbai,IndiGo,2,3
Deluxe,Chail|Shimla,1N Chail . 2N Shimla,18-02-2021,New Delhi,IndiGo,1,3
Premium,Goa,3N Goa,22-11-2021,New Delhi,IndiGo,0,5
Deluxe,Shimla|Manali,2N Shimla . 4N Manali,16-07-2021,New Delhi,Not Available,1,3
Deluxe,Jaipur|Jodhpur|Jaisalmer|Bikaner|Jaipur,1N Jaipur . 1N Jodhpur . 2N Jaisalmer . 1N Bikaner . 1N Jaipur,20-06-2021,New Delhi,Spicejet,1,3
Deluxe,Chandigarh|Shimla|Manali|Chandigarh,1N Chandigarh . 2N Shimla . 3N Manali . 1N Chandigarh,16-05-2021,New Delhi,Spicejet,1,3
Standard,Gangtok|Pelling|Darjeeling,2N Gangtok . 2N Pelling . 2N Darjeeling,3/4/2021,Mumbai,Spicejet,2,3
Luxury,Gulmarg|Pahalgam|Srinagar,2N Gulmarg . 2N Pahalgam . 1N Srinagar,14-03-2021,Mumbai,Vistara|Vistara,0,4
Luxury,Kasauli,2N Kasauli,29-01-2021,Mumbai,Not Available,0,4
Premium,Pattaya|Bangkok,2N Pattaya . 2N Bangkok,9/7/2021,Mumbai,Air India|Air India,0,5
Deluxe,Cochin,1N Cochin,8/11/2021,New Delhi,IndiGo,1,3
Deluxe,Manali|Chandigarh,2N Manali . 1N Chandigarh,26-01-2021,New Delhi,Not Available,1,3
Premium,Kovalam and Poovar|Allepey|Thekkady|Munnar,2N Kovalam and Poovar . 2N Allepey . 1N Thekkady . 2N Munnar,6/4/2021,New Delhi,IndiGo|Vistara,0,5
Luxury,Darjeeling|Gangtok,3N Darjeeling . 2N Gangtok,19-07-2021,New Delhi,IndiGo,0,4
Premium,Shimla,2N Shimla,3/8/2021,New Delhi,Not Available,0,5
Luxury,Colombo,3N Colombo,1/4/2021,Mumbai,IndiGo|IndiGo|IndiGo|IndiGo,0,4
Deluxe,Haridwar|Mussoorie,1N Haridwar . 2N Mussoorie,18-06-2021,Mumbai,Not Available,1,3
Standard,Mussoorie|Corbett,3N Mussoorie . 2N Corbett,16-04-2021,New Delhi,IndiGo,2,3
Deluxe,Shimla|Manali|New Delhi,2N Shimla . 2N Manali . 2N New Delhi,1/11/2021,Mumbai,Spicejet,1,3
Deluxe,Gangtok|Pelling|Darjeeling,6N Gangtok . 1N Pelling . 2N Darjeeling,31-07-2021,New Delhi,IndiGo,1,3
Premium,Mussoorie|Rishikesh,2N Mussoorie . 1N Rishikesh,2/12/2021,New Delhi,Not Available,0,5
Deluxe,Cochin|Munnar|Thekkady|Allepey,1N Cochin . 2N Munnar . 1N Thekkady . 1N Allepey,15-12-2021,New Delhi,IndiGo,1,3
Deluxe,Ranthambhore,2N Ranthambhore,21-05-2021,New Delhi,Spicejet,1,3
Premium,Chandigarh|Shimla|Manali|Chandigarh,1N Chandigarh . 2N Shimla . 3N Manali . 1N Chandigarh,14-06-2021,New Delhi,Spicejet|IndiGo,0,5
Standard,Kasauli,2N Kasauli,9/10/2021,New Delhi,Not Available,2,3
Deluxe,Mysore|Coorg|Ooty,1N Mysore . 2N Coorg . 2N Ooty,22-02-2021,New Delhi,Air India,1,3
Standard,Darjeeling,3N Darjeeling,14-02-2021,Mumbai,Not Available,2,3
Deluxe,Srinagar|Gulmarg|Srinagar,1N Srinagar . 1N Gulmarg . 2N Srinagar,27-07-2021,Mumbai,Spicejet|Spicejet,1,3
Standard,Shimla|Manali|Amritsar,3N Shimla . 3N Manali . 2N Amritsar,1/7/2021,New Delhi,Not Available,2,3
Premium,Jaipur|Jodhpur|Udaipur,2N Jaipur . 1N Jodhpur . 1N Udaipur,16-10-2021,New Delhi,IndiGo|IndiGo,0,5
Standard,Udaipur|Jodhpur|Jaisalmer|Bikaner|Jaipur,1N Udaipur . 2N Jodhpur . 2N Jaisalmer . 1N Bikaner . 2N Jaipur,29-05-2021,New Delhi,IndiGo|Air India,2,3
Premium,Goa,5N Goa,4/10/2021,Mumbai,Go Air,0,5
Luxury,Goa,5N Goa,8/8/2021,New Delhi,Go Air,0,4
Standard,Srinagar|Pahalgam|Srinagar|Gulmarg,1N Srinagar . 1N Pahalgam . 1N Srinagar . 1N Gulmarg,11/5/2021,Mumbai,Spicejet|Spicejet,2,3
Deluxe,New Delhi|Agra|Jaipur,1N New Delhi . 1N Agra . 1N Jaipur,16-03-2021,New Delhi,Spicejet,1,3
Premium,Singapore|Batam|Singapore,2N Singapore . 2N Batam . 2N Singapore,12/7/2021,Mumbai,Malaysia Airlines|Malaysia Airlines|Malaysia Airlines|Malaysia Airlines,0,5
Luxury,Goa,8N Goa,21-04-2021,New Delhi,Spicejet,0,4
Premium,Bangalore|Mysore|Ooty,1N Bangalore . 1N Mysore . 2N Ooty,8/12/2021,New Delhi,Spicejet,0,5
Deluxe,Dharamshala,2N Dharamshala,4/9/2021,New Delhi,Not Available,1,3
Luxury,Coorg,2N Coorg,20-12-2021,Mumbai,Not Available,0,4
Deluxe,Coorg|Ooty,2N Coorg . 2N Ooty,24-12-2021,New Delhi,IndiGo|IndiGo,1,3
Standard,Ooty,3N Ooty,20-07-2021,New Delhi,Spicejet,2,3
Luxury,Allepey,2N Allepey,31-01-2021,New Delhi,Not Available,0,4
Deluxe,Pelling|Darjeeling,1N Pelling . 2N Darjeeling,1/4/2021,New Delhi,IndiGo,1,3
Standard,Shimla,2N Shimla,8/3/2021,New Delhi,Not Available,2,3
Luxury,Shimla|Manali|Chandigarh|New Delhi,2N Shimla . 3N Manali . 1N Chandigarh . 2N New Delhi,25-02-2022,Mumbai,Not Available,0,4
Deluxe,Chandigarh|Shimla|Manali,1N Chandigarh . 2N Shimla . 3N Manali,26-07-2021,Mumbai,Not Available,1,3
Luxury,Udaipur,3N Udaipur,19-07-2021,New Delhi,Not Available,0,4
Deluxe,Jaipur|Udaipur,2N Jaipur . 2N Udaipur,22-10-2021,New Delhi,IndiGo|IndiGo,1,3
Premium,Jaipur|Udaipur,3N Jaipur . 2N Udaipur,30-12-2021,New Delhi,Go Air|Air India,0,5
Standard,Port Blair,3N Port Blair,2/12/2021,New Delhi,IndiGo|IndiGo,2,3
Premium,Nainital|Kausani|Corbett,2N Nainital . 2N Kausani . 2N Corbett,16-10-2021,New Delhi,Air India,0,5
Premium,Bali,4N Bali,17-03-2021,New Delhi,Malindo Air|Malindo Air|Malindo Air|Malindo Air,0,5
Premium,Srinagar|Pahalgam|Gulmarg|Srinagar,2N Srinagar . 1N Pahalgam . 2N Gulmarg . 1N Srinagar,22-06-2021,New Delhi,Go Air,0,5
Standard,Munnar|Kovalam|Allepey,3N Munnar . 2N Kovalam . 1N Allepey,9/6/2021,New Delhi,IndiGo,2,3
Standard,Munnar|Allepey|Kovalam and Poovar,2N Munnar . 1N Allepey . 2N Kovalam and Poovar,24-08-2021,New Delhi,IndiGo|Spicejet,2,3
Premium,Goa,4N Goa,12/10/2021,Mumbai,Go Air,0,5
Standard,Munnar,3N Munnar,1/8/2021,Mumbai,Not Available,2,3
Standard,Goa,2N Goa,21-03-2021,Mumbai,Go Air,2,3
Premium,Mount Abu|Udaipur,2N Mount Abu . 4N Udaipur,5/6/2021,New Delhi,Air India|Spicejet,0,5
Luxury,Mumbai|Goa,1N Mumbai . 3N Goa,3/6/2021,New Delhi,IndiGo|IndiGo|IndiGo,0,4
Budget,Shillong|Guwahati,2N Shillong . 2N Guwahati,9/4/2021,Mumbai,Spicejet|Spicejet,2,2
Luxury,New Delhi|Shimla|Manali|Chandigarh,1N New Delhi . 2N Shimla . 3N Manali . 1N Chandigarh,4/5/2021,New Delhi,Not Available,0,4
Luxury,Shimla|Manali|Amritsar,3N Shimla . 3N Manali . 2N Amritsar,14-06-2021,New Delhi,Not Available,0,4
Budget,Port Blair|Havelock|Port Blair,1N Port Blair . 1N Havelock . 1N Port Blair,24-05-2021,New Delhi,Not Available,2,2
Deluxe,Dalhousie|Manali|Chandigarh,2N Dalhousie . 3N Manali . 1N Chandigarh,7/10/2021,Mumbai,Not Available,1,3
Deluxe,Cochin|Allepey|Thekkady,1N Cochin . 1N Allepey . 2N Thekkady,15-10-2021,New Delhi,Spicejet,1,3
Deluxe,New Delhi|Agra|Jaipur,1N New Delhi . 1N Agra . 1N Jaipur,18-10-2021,Mumbai,Spicejet,1,3
Luxury,Kanyakumari|Rameshwaram|Madurai|Tirupati,1N Kanyakumari . 1N Rameshwaram . 1N Madurai . 2N Tirupati,1/10/2021,Mumbai,Spicejet|Spicejet|Spicejet,0,4
Premium,Mussoorie|Corbett|Nainital,2N Mussoorie . 2N Corbett . 2N Nainital,24-04-2021,New Delhi,Air India,0,5
Standard,Udaipur,3N Udaipur,27-10-2021,Mumbai,Spicejet|Spicejet,2,3
Deluxe,Rishikesh|Haridwar,2N Rishikesh . 2N Haridwar,5/10/2021,New Delhi,Spicejet,1,3
Deluxe,Port Blair|Havelock|Port Blair,1N Port Blair . 2N Havelock . 1N Port Blair,1/4/2021,New Delhi,IndiGo|IndiGo,1,3
Standard,New Delhi|Agra|Jaipur,1N New Delhi . 1N Agra . 1N Jaipur,25-09-2021,Mumbai,Not Available,2,3
Luxury,Pondicherry,3N Pondicherry,26-08-2021,New Delhi,IndiGo,0,4
Standard,Singapore,5N Singapore,14-12-2021,Mumbai,IndiGo|IndiGo|IndiGo,2,3
Luxury,Udaipur|Mount Abu,2N Udaipur . 2N Mount Abu,10/9/2021,New Delhi,Not Available,0,4
Luxury,Dalhousie|Dharamshala,2N Dalhousie . 2N Dharamshala,7/2/2021,Mumbai,Not Available,0,4
Premium,Dalhousie,3N Dalhousie,18-05-2021,Mumbai,Not Available,0,5
Premium,New Delhi|Agra,2N New Delhi . 1N Agra,18-12-2021,New Delhi,Spicejet,0,5
Standard,Munnar|Allepey,2N Munnar . 1N Allepey,10/6/2021,New Delhi,Not Available,2,3
Standard,Copenhagen|Moscow,3N Copenhagen . 3N Moscow,22-06-2021,New Delhi,Air India|Air India|Air Baltic|Air Baltic|Uzbekistan Airways|Uzbekistan Airways,2,3
Standard,Srinagar,4N Srinagar,14-10-2021,New Delhi,IndiGo,2,3
Standard,Dalhousie|Manali,2N Dalhousie . 3N Manali,10/11/2021,New Delhi,Not Available,2,3
Standard,Negombo|Kandy|Nuwara Eliya|Yala|Galle|Bentota|Colombo,1N Negombo . 1N Kandy . 1N Nuwara Eliya . 1N Yala . 1N Galle . 1N Bentota . 1N Colombo,13-06-2021,New Delhi,Air India|Air India|Air India|Air India,2,3
Premium,Munnar|Thekkady|Allepey|Kumarakom,2N Munnar . 1N Thekkady . 1N Allepey . 1N Kumarakom,5/9/2021,Mumbai,Spicejet,0,5
Deluxe,Nainital|Corbett|Mussoorie,3N Nainital . 2N Corbett . 2N Mussoorie,1/10/2021,New Delhi,Go Air,1,3
Premium,Cochin|Kumarakom|Kovalam and Poovar,1N Cochin . 1N Kumarakom . 2N Kovalam and Poovar,22-09-2021,New Delhi,Spicejet,0,5
Premium,Gangtok,3N Gangtok,28-09-2021,Mumbai,IndiGo,0,5
Standard,Ooty|Kodaikanal|Munnar|Cochin,2N Ooty . 2N Kodaikanal . 2N Munnar . 1N Cochin,16-02-2021,New Delhi,Spicejet|IndiGo,2,3
Premium,Chandigarh|Manali|Shimla,1N Chandigarh . 3N Manali . 2N Shimla,21-04-2021,Mumbai,Not Available,0,5
Luxury,Munnar,3N Munnar,4/8/2021,New Delhi,Not Available,0,4
Premium,Dalhousie|Dharamshala,2N Dalhousie . 2N Dharamshala,6/8/2021,Mumbai,IndiGo|IndiGo,0,5
Standard,Nainital|Kausani|Ranikhet|Corbett,2N Nainital . 1N Kausani . 1N Ranikhet . 2N Corbett,29-01-2021,New Delhi,Spicejet,2,3
Standard,Ooty,3N Ooty,11/5/2021,New Delhi,Spicejet,2,3
Deluxe,Gangtok|Lachung|Gangtok|Pelling|Darjeeling,1N Gangtok . 2N Lachung . 2N Gangtok . 2N Pelling . 2N Darjeeling,9/5/2021,Mumbai,IndiGo,1,3
Deluxe,Gangtok|Lachung|Gangtok,1N Gangtok . 2N Lachung . 1N Gangtok,14-11-2021,New Delhi,IndiGo,1,3
Luxury,Shimla,4N Shimla,9/8/2021,New Delhi,Vistara|Vistara,0,4
Premium,Munnar|Thekkady|Allepey|Kovalam and Poovar,2N Munnar . 2N Thekkady . 1N Allepey . 2N Kovalam and Poovar,5/3/2021,Mumbai,IndiGo,0,5
Premium,Gangtok|Pelling|Darjeeling|Kalimpong,3N Gangtok . 1N Pelling . 2N Darjeeling . 1N Kalimpong,8/8/2021,New Delhi,Spicejet,0,5
Deluxe,Singapore,4N Singapore,5/10/2021,New Delhi,Srilankan Airlines|Srilankan Airlines|Srilankan Airlines|Srilankan Airlines,1,3
Standard,Haridwar|Rishikesh|Mussoorie,1N Haridwar . 1N Rishikesh . 2N Mussoorie,13-04-2021,New Delhi,Not Available,2,3
Premium,Jaisalmer,3N Jaisalmer,24-08-2021,New Delhi,Air India|Spicejet,0,5
